Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,594,1,0,0,0,0,0
0,0,609,0,0,0,0,0,0
0,0,618,0,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,637,0,0,0,0,0,0
0,0,641,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,624,0,0,0,0,0,0
0,0,627,2,0,0,0,0,0
0,0,616,3,0,0,0,0,0
0,0,618,4,0,0,0,0,0
0,1,618,2,0,0,0,0,0
0,1,623,5,0,0,0,0,0
1,1,601,0,0,0,0,0,0
4,2,606,1,0,0,0,0,0
3,3,577,1,1,0,1,0,0
10,4,578,1,1,0,1,0,0
5,4,564,1,1,1,1,1,0
7,4,575,3,1,1,1,2,0
7,4,564,1,0,1,0,2,0
6,4,476,1,0,2,0,2,0
6,4,549,3,0,2,0,3,0
7,6,469,4,0,2,1,2,0
10,6,531,2,0,3,0,2,0
10,6,491,0,0,1,1,2,0
12,7,501,1,0,1,1,3,0
7,7,443,4,0,3,4,1,0
8,8,476,6,0,3,3,4,0
8,6,423,2,0,3,1,4,0
13,7,455,3,1,3,1,3,0
6,7,405,3,0,3,0,2,0
11,8,434,3,2,5,0,7,0
7,7,410,0,0,5,0,8,0
11,11,447,2,0,6,0,10,0
0,11,457,2,0,1,0,0,0
0,13,493,2,0,1,0,0,0
0,16,522,2,0,0,0,0,0
0,18,562,3,0,0,0,0,0
0,0,569,2,0,0,0,0,0
0,0,599,4,0,0,0,0,0
0,0,607,2,0,0,0,0,0
0,0,622,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,649,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,648,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,600,1,0,0,0,0,0
0,0,625,3,0,0,0,0,0
0,0,606,3,0,0,0,0,0
0,0,613,9,0,0,0,0,0
0,0,607,2,0,0,0,0,0
0,0,617,2,0,0,0,0,0
1,2,604,0,0,0,0,0,0
3,2,611,1,0,0,0,0,0
3,2,593,1,0,0,0,0,0
6,3,598,1,1,0,0,0,0
4,3,576,0,0,0,0,1,0
9,3,578,0,0,0,0,2,0
4,4,564,0,0,0,0,2,0
6,4,577,0,0,1,1,3,0
4,4,547,0,0,1,1,2,0
3,4,462,0,1,1,2,2,0
8,4,539,0,0,1,2,1,0
1,4,492,1,0,0,0,2,0
6,5,520,2,1,1,1,5,0
5,5,455,0,1,2,0,2,0
9,7,484,1,0,3,1,2,0
8,8,422,2,0,2,1,2,0
12,8,456,4,0,2,1,2,0
9,8,394,3,0,3,1,6,0
10,12,419,4,1,3,2,7,0
5,10,385,6,0,1,3,9,0
10,10,443,8,1,5,4,10,0
0,10,454,0,0,1,0,0,0
0,10,495,1,0,1,0,0,0
0,10,534,1,0,0,0,0,0
0,11,570,1,0,0,0,0,0
0,0,585,2,0,0,0,0,0
0,0,605,3,0,0,0,0,0
0,0,617,2,0,0,0,0,0
0,0,625,0,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,636,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,630,3,0,0,0,0,0
0,0,624,1,0,0,0,0,0
0,0,624,4,0,0,0,0,0
0,1,624,0,0,0,0,0,0
0,2,628,1,0,0,0,0,0
2,2,614,0,0,0,0,0,0
3,2,620,0,0,1,0,0,0
5,4,590,0,0,1,0,0,0
4,4,532,0,0,0,0,0,0
4,4,576,0,0,0,1,0,0
4,4,519,3,0,1,1,0,0
2,4,570,1,2,1,1,0,0
3,3,552,0,2,1,1,0,0
4,5,567,0,0,1,1,0,0
3,5,538,0,0,1,1,0,0
4,7,554,0,0,2,1,0,0
3,7,506,2,0,2,1,0,0
7,7,527,2,0,2,1,2,0
5,7,460,2,0,3,0,0,0
11,7,484,2,0,3,3,2,0
5,9,409,1,0,4,5,3,0
10,11,439,5,0,4,7,6,0
9,13,388,3,0,5,2,6,0
17,15,413,6,2,5,3,11,0
7,14,408,1,0,6,2,8,0
11,16,442,1,0,7,4,11,0
0,11,465,3,0,1,0,0,0
0,14,508,2,0,1,0,0,0
0,10,532,0,0,0,0,0,0
0,12,557,2,0,0,0,0,0
0,0,579,1,0,0,0,0,0
0,0,596,3,0,0,0,0,0
0,0,609,1,0,0,0,0,0
0,0,617,0,0,0,0,0,0
0,0,625,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,639,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,624,0,0,0,0,0,0
0,0,626,1,0,0,0,0,0
0,0,615,2,0,0,0,0,0
0,0,619,7,0,0,0,0,0
0,0,617,2,0,0,0,0,0
0,1,621,4,0,0,0,0,0
0,1,603,1,0,0,0,0,0
2,1,608,2,0,0,0,1,0
1,1,580,1,0,0,0,0,0
8,4,586,1,0,0,1,0,0
4,4,571,1,0,0,2,1,0
8,4,580,5,0,0,3,2,0
4,4,568,2,0,0,3,3,0
7,5,575,2,0,0,5,4,0
2,5,555,1,1,1,3,3,0
6,5,561,2,2,3,3,3,0
5,5,548,2,1,1,1,2,0
4,6,417,2,1,1,3,4,0
13,7,526,1,1,2,2,6,0
14,7,351,2,0,1,2,4,0
14,11,486,1,0,2,2,3,0
10,10,400,0,0,0,1,8,0
10,12,432,2,0,0,3,11,0
9,13,285,3,0,1,2,7,0
18,12,388,4,0,2,2,6,0
6,13,362,5,0,1,2,6,0
13,14,403,5,0,1,4,7,0
0,16,434,0,0,1,0,0,0
0,18,492,5,0,1,0,0,0
0,15,518,2,0,0,0,0,0
0,15,548,4,0,0,0,0,0
0,0,571,3,0,0,0,0,0
0,0,594,4,0,0,0,0,0
0,0,606,1,0,0,0,0,0
0,0,616,1,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,635,0,0,0,0,0,0
0,0,642,0,0,0,0,0,0
0,0,649,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,613,0,0,0,0,0,0
0,0,295,0,0,0,0,0,0
0,0,606,2,1,0,0,0,0
0,0,561,1,0,0,0,0,0
0,0,616,3,0,0,0,0,0
0,1,599,1,0,0,0,0,0
1,1,610,1,0,0,0,0,0
1,1,562,1,0,0,0,0,0
3,2,591,1,0,1,1,1,0
1,3,565,0,0,1,2,0,0
5,4,573,1,0,2,3,1,0
5,4,561,1,0,3,2,2,0
9,4,580,1,0,4,2,2,0
3,5,552,1,0,5,3,4,0
9,8,563,1,0,5,3,5,0
3,7,528,2,0,4,1,5,0
