Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,22,528,2,0,0,0,0,0
0,5,518,2,0,0,0,0,0
0,0,588,2,0,0,0,0,0
0,0,603,0,0,0,0,0,0
0,0,615,0,0,0,0,0,0
0,0,621,0,0,0,0,0,0
0,0,629,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,646,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,648,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,613,0,0,0,0,0,0
0,0,636,0,0,0,0,0,0
0,0,625,1,0,0,0,0,0
0,0,629,3,0,0,0,0,0
0,0,624,2,0,0,0,0,0
0,0,627,5,0,0,0,0,0
0,0,618,1,0,0,0,0,0
2,0,623,3,0,0,0,0,0
1,1,595,0,0,0,0,0,0
4,1,602,0,0,1,0,0,0
3,1,579,0,1,1,0,0,0
8,1,587,0,1,1,0,0,0
2,2,572,0,0,1,0,2,0
5,3,579,0,0,1,0,3,0
1,3,555,1,0,1,0,1,0
7,3,564,1,0,2,0,1,0
3,6,526,1,0,1,2,1,0
11,9,536,4,0,3,2,1,0
6,9,511,1,0,2,2,0,0
13,10,525,3,0,2,2,0,0
7,8,481,2,0,2,1,0,0
14,10,497,3,0,3,1,1,0
8,11,427,0,0,0,1,1,0
22,12,452,3,0,1,1,3,0
12,10,410,1,0,1,1,4,0
21,13,422,2,0,3,3,5,0
4,12,410,1,0,1,4,4,0
8,15,440,3,0,2,5,4,0
0,16,466,0,0,0,0,0,0
0,17,516,1,0,0,0,0,0
0,20,542,0,0,0,0,0,0
0,21,574,1,0,0,0,0,0
0,0,588,1,0,0,0,0,0
0,0,608,3,0,0,0,0,0
0,0,617,2,0,0,0,0,0
0,0,624,0,0,0,0,0,0
0,0,627,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,643,0,0,0,0,0,0
0,0,649,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,632,0,0,0,0,0,0
0,0,614,1,0,0,0,0,0
0,0,616,10,0,0,0,0,0
0,0,611,3,0,0,0,0,0
0,1,615,4,0,0,0,0,0
1,2,605,2,0,0,0,0,0
1,3,616,3,0,1,0,0,0
2,4,584,0,0,0,0,0,0
5,5,593,0,0,1,0,0,0
2,5,580,0,0,0,1,4,0
7,5,586,0,1,2,1,4,0
6,5,566,0,0,4,0,2,0
9,7,573,0,0,4,0,2,0
3,8,550,0,0,4,0,0,0
11,8,555,0,0,4,1,1,0
4,7,543,2,0,3,3,2,0
10,8,552,3,0,4,3,3,0
9,6,523,3,0,2,2,3,0
13,6,535,6,1,3,2,4,0
6,8,489,3,0,1,1,3,0
16,11,507,4,1,2,2,5,0
8,13,435,2,0,2,2,3,0
16,15,452,5,1,3,3,7,0
13,17,397,5,1,3,2,6,0
19,18,412,9,2,4,3,11,0
6,16,393,5,1,3,2,9,0
5,14,312,5,0,1,0,1,0
0,15,477,3,0,1,0,0,0
0,16,487,2,0,0,0,0,0
0,18,530,3,0,0,0,0,0
0,1,550,0,0,0,0,0,0
0,0,585,0,0,0,0,0,0
0,0,602,1,0,0,0,0,0
0,0,614,0,0,0,0,0,0
0,0,624,0,0,0,0,0,0
0,0,632,0,0,0,0,0,0
0,0,642,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,619,0,0,0,0,0,0
0,0,634,3,0,0,0,0,0
0,0,617,1,0,0,0,0,0
0,0,620,2,0,0,0,0,0
0,0,612,1,0,0,0,0,0
0,1,614,1,0,0,0,0,0
0,1,595,0,0,0,0,0,0
3,5,598,0,0,0,0,0,0
4,5,578,0,0,0,0,0,0
8,6,585,0,0,0,0,0,0
4,6,570,0,0,0,0,0,0
7,10,575,1,0,0,0,0,0
3,11,559,0,0,0,1,1,0
7,10,569,0,0,0,1,1,0
2,9,548,1,0,2,0,1,0
6,10,553,2,0,2,0,2,0
1,10,526,1,0,2,0,0,0
8,11,537,4,1,2,1,0,0
6,11,497,3,0,2,1,1,0
16,11,508,3,0,3,1,4,0
9,8,446,0,0,4,0,5,0
20,9,478,2,0,6,0,6,0
11,9,430,3,0,3,1,3,0
19,11,445,3,0,3,2,6,0
8,14,386,0,1,2,2,8,0
17,18,421,3,1,2,2,10,0
10,16,417,1,2,2,1,5,0
12,18,437,4,2,3,1,7,0
0,12,470,2,0,0,0,0,0
0,13,515,2,0,0,0,0,0
0,12,540,0,0,0,0,0,0
0,13,564,1,0,0,0,0,0
0,0,576,0,0,0,0,0,0
0,0,598,4,0,0,0,0,0
0,0,610,0,0,0,0,0,0
0,0,624,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,639,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,1,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,625,0,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,613,2,1,0,0,1,0
0,0,617,5,1,0,0,2,0
0,0,618,2,0,0,0,0,0
0,1,621,2,1,0,0,0,0
0,2,606,1,0,0,0,0,0
3,4,613,1,0,0,0,0,0
5,7,594,0,0,0,0,0,0
7,9,599,0,0,0,0,0,0
3,8,583,0,0,0,0,0,0
1,7,526,1,0,1,0,0,0
6,7,575,3,0,1,0,1,0
4,7,489,3,0,1,0,2,0
4,9,558,0,0,1,0,2,0
3,7,463,0,0,2,2,2,0
4,9,538,1,0,3,2,2,0
4,8,512,1,0,2,1,2,0
8,8,518,5,1,2,2,5,0
