Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,14,565,4,0,0,0,0,0
0,1,572,3,0,0,0,0,0
0,0,596,4,0,0,0,0,0
0,0,603,3,0,0,0,0,0
0,0,613,0,0,0,0,0,0
0,0,618,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,564,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,615,0,0,0,0,0,0
0,0,633,1,0,0,0,0,0
0,0,617,3,0,0,0,0,0
0,0,627,5,0,0,0,0,0
0,0,618,2,0,0,0,0,0
0,0,619,3,0,0,0,0,0
0,0,597,1,0,0,0,0,0
2,0,604,2,0,0,0,0,0
1,1,587,3,0,0,0,0,0
6,1,597,3,1,0,1,0,0
0,0,576,1,1,0,1,0,0
3,1,579,1,1,0,1,0,0
1,2,566,0,0,1,1,0,0
6,2,577,0,0,1,1,4,0
3,2,555,2,0,1,1,1,0
8,3,561,3,0,1,1,2,0
4,3,541,1,0,2,0,1,0
10,3,551,1,1,3,0,2,0
5,3,529,0,0,2,0,1,0
9,4,546,3,1,3,0,1,0
3,4,498,1,1,1,0,1,0
10,5,509,1,2,1,0,1,0
5,9,452,2,0,0,1,4,0
15,14,472,3,0,0,1,8,0
10,13,420,5,0,0,2,6,0
18,15,437,6,1,1,2,6,0
11,21,410,1,0,0,2,5,0
16,21,434,3,0,0,2,10,0
0,20,456,2,0,0,0,0,0
0,21,502,4,0,1,0,0,0
0,19,536,2,0,0,0,0,0
0,20,560,3,0,0,0,0,0
0,0,585,1,0,0,0,0,0
0,0,604,4,0,0,0,0,0
0,0,612,0,0,0,0,0,0
0,0,624,0,0,0,0,0,0
0,0,628,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,646,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,523,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,331,0,0,0,0,0,0
0,0,631,1,0,0,0,0,0
0,0,560,4,0,0,0,0,0
0,0,623,6,0,0,0,0,0
0,0,591,5,0,0,0,0,0
0,0,621,6,0,0,0,0,0
0,0,601,2,0,0,0,0,0
0,1,604,2,0,0,0,0,0
1,1,572,2,0,0,0,0,0
5,2,574,3,0,0,0,0,0
4,2,556,1,0,1,0,0,0
7,2,567,1,0,1,2,0,0
3,3,550,0,0,1,3,1,0
4,3,558,0,0,1,3,2,0
4,5,540,2,0,2,1,3,0
7,7,549,2,0,2,2,4,0
3,5,522,2,0,1,2,1,0
7,7,535,3,0,1,2,2,0
5,7,502,2,0,2,2,2,0
7,7,516,2,0,3,3,3,0
3,8,466,1,0,4,2,6,0
8,8,481,1,0,4,3,8,0
3,9,432,3,1,1,2,8,0
12,9,450,2,1,2,4,12,0
9,11,403,2,0,1,4,6,0
19,11,426,6,0,1,5,11,0
8,12,406,3,0,0,2,8,0
18,12,437,5,1,1,2,9,0
0,12,467,0,0,0,0,0,0
0,13,506,4,0,0,0,0,0
0,13,536,4,0,0,0,0,0
0,15,565,8,0,0,0,0,0
0,0,577,3,0,0,0,0,0
0,0,592,6,0,0,0,0,0
0,0,605,0,0,0,0,0,0
0,0,618,0,0,0,0,0,0
0,0,627,0,0,0,0,0,0
0,0,635,0,0,0,0,0,0
0,0,643,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,614,2,0,0,0,0,0
0,0,618,5,0,0,0,0,0
0,0,613,2,0,0,0,1,0
0,0,618,8,0,0,0,1,0
1,0,597,1,0,0,0,1,0
4,2,607,2,0,2,0,1,0
4,2,578,0,0,3,0,1,0
10,2,580,0,0,3,1,1,0
2,2,567,1,0,2,1,0,0
6,2,573,2,0,2,1,2,0
7,3,553,2,0,3,2,1,0
14,3,565,3,1,3,2,1,0
3,5,546,3,2,2,1,0,0
7,6,558,4,2,3,1,1,0
3,6,529,3,0,2,1,4,0
9,6,536,3,0,3,1,4,0
7,8,516,1,1,3,1,3,0
9,11,530,3,2,3,2,5,0
7,11,496,3,2,2,3,4,0
6,10,333,2,2,3,3,4,0
6,15,455,1,0,4,2,4,0
7,13,388,3,0,2,1,5,0
10,20,422,5,1,4,2,7,0
9,17,381,1,0,2,2,4,0
11,17,428,4,0,2,2,5,0
1,18,450,3,0,1,0,0,0
0,19,491,2,0,1,0,0,0
0,19,507,3,0,1,0,0,0
0,18,546,6,0,1,0,0,0
0,0,566,3,0,0,0,0,0
0,0,586,3,0,0,0,0,0
0,0,603,1,0,0,0,0,0
0,0,610,0,0,0,0,0,0
0,0,619,0,0,0,0,0,0
0,0,629,0,0,0,0,0,0
0,0,640,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,625,1,0,0,0,0,0
0,0,627,5,0,0,0,0,0
0,0,623,2,0,0,0,0,0
0,0,625,3,0,0,0,0,0
0,1,600,0,0,0,0,0,0
2,3,605,1,0,0,0,0,0
2,3,579,0,0,0,0,0,0
4,3,585,0,0,0,1,0,0
1,4,567,0,0,1,0,0,0
8,4,577,1,0,2,0,0,0
7,4,557,3,0,2,1,1,0
9,6,570,3,0,4,1,1,0
2,6,542,2,0,2,1,1,0
10,6,551,3,0,2,2,1,0
3,7,533,2,0,1,1,1,0
11,8,546,6,0,1,1,2,0
4,7,504,2,1,2,3,2,0
10,7,519,4,1,3,3,3,0
3,7,473,3,0,2,4,1,0
8,8,494,6,0,3,4,3,0
7,8,442,3,0,0,3,5,0
11,11,460,4,0,2,4,7,0
9,11,404,3,1,1,1,8,0
16,12,424,6,2,1,1,8,0
12,12,424,3,1,1,4,7,0
14,13,460,5,1,3,4,8,0
0,11,480,4,0,2,0,0,0
0,11,441,5,0,1,0,0,0
0,13,543,7,0,0,0,0,0
0,2,531,3,0,0,0,0,0
0,0,588,3,0,0,0,0,0
0,0,604,3,0,0,0,0,0
0,0,614,0,0,0,0,0,0
0,0,622,0,0,0,0,0,0
0,0,631,1,0,0,0,0,0
0,0,639,1,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,648,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,595,0,0,0,0,0,0
0,0,616,0,0,0,0,0,0
0,0,585,2,0,0,0,0,0
0,1,598,4,0,0,0,0,0
0,2,599,3,0,0,0,0,0
0,2,607,7,0,0,0,0,0
0,2,600,1,1,0,0,0,0
6,4,607,2,1,0,0,0,0
2,5,581,1,0,1,0,1,0
4,6,584,1,0,1,2,1,0
5,7,569,0,0,1,1,0,0
7,8,577,0,0,1,2,1,0
3,9,557,1,0,2,1,1,0
6,9,568,3,0,2,1,1,0
4,10,547,1,0,3,0,3,0
7,10,556,3,1,4,1,4,0
3,11,525,0,0,3,2,3,0
8,11,537,0,1,3,2,3,0
7,13,516,0,1,1,2,4,0
13,16,526,0,1,1,4,5,0
9,14,490,0,2,2,3,4,0
13,16,502,3,2,2,3,6,0
9,13,440,4,0,2,4,3,0
19,15,452,5,1,1,5,5,0
12,17,399,4,0,0,3,4,0
20,20,421,4,0,2,4,5,0
14,16,395,6,0,2,3,2,0
20,19,435,8,0,3,6,3,0
0,18,463,5,0,2,0,0,0
0,18,505,8,0,2,0,0,0
0,16,544,3,0,0,0,0,0
0,17,568,4,0,0,0,0,0
0,0,581,0,0,0,0,0,0
0,0,598,4,0,0,0,0,0
0,0,607,1,0,0,0,0,0
0,0,616,0,0,0,0,0,0
0,0,629,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,643,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,649,0,0,0,0,0,0
0,0,474,0,0,0,0,0,0
0,0,594,0,0,0,0,0,0
0,0,531,1,0,0,0,0,0
0,0,615,3,0,0,0,0,0
